Code,Soil Names,% Sand (O,A horizon),% Silt (O,A horizon),% Clay (O,A horizon),Hydro Group
657854,Troup-Maxton-Compass-Bonifay (s190),74.7,15.1,10.2,B
657855,Yonges-Saffell-Orangeburg-Oktibbeha-Dexter (s191),54.5,27.2,18.3,B
657856,Malbis-Lucedale (s192),56.3,32.4,11.3,B
657857,Troup-Red Bay-Orangeburg-Malbis-Greenville (s193),67.9,19.4,12.7,B
657858,Springhill-Cowarts (s194),76.7,13.3,9.9,C
657859,Springhill-Orangeburg-Luverne (s195),67.9,17.6,14.5,B
657860,Red Bay-Orangeburg-Dothan (s196),67.6,19.2,13.2,B
657861,Troup-Smithdale-Malbis (s197),70.2,18.8,11.0,B
657862,Kalmia-Craven-Cahaba-Brewton-Bigbee (s198),68.3,20.1,11.7,D
657863,Fuquay-Arundel (s199),74.1,17.1,8.8,C
657864,Emory-Decatur-Bewleyville (s2),17.1,60.7,22.2,B
657865,Tupelo-Holston-Etowah-Decatur-Capshaw (s20),24.4,51.4,24.3,B
657866,Urbo-Levy-Iuka-Dorovan (s200),31.4,36.2,15.8,D
657867,Luverne-Arundel (s201),56.4,29.7,13.9,C
657868,Mantachie-Lenoir-Iuka-Bibb (s202),50.2,37.0,12.8,C
657869,Wahee-Myatt-Leaf-Cahaba-Annemaine (s203),51.4,33.8,14.8,D
657870,Levy-Lafitte (s204),15.9,28.3,22.5,D
657871,Troup-Rains-Plummer-Dorovan-Bayboro (s205),62.3,18.2,9.5,A
657872,Malbis-Lucedale (s206),67.9,21.5,10.6,B
657873,Troup-Smithton-Bibb (s207),69.0,19.6,11.4,D
657874,Troup-Smithdale-Malbis-Luverne-Esto-Bama (s208),70.8,17.2,12.0,B
657875,Troup-Smithdale-Bibb-Bama (s209),71.2,17.0,11.7,B
657876,Fullerton-Decatur-Colbert-Chenneby-Capshaw-Allen (s21),28.6,47.7,23.7,B
657877,Troup-Luverne-Esto-Bama (s210),71.3,16.7,12.0,B
657878,Luverne-Cantuche-Arundel (s211),63.2,24.1,12.7,C
657879,Troup-Smithdale-Maubila-Luverne (s212),66.2,21.1,12.8,C
657880,Watsonia-Troup-Smithdale-Prim (s213),55.7,26.9,17.3,D
657881,Troup-Smithdale-Lucedale-Bama (s214),71.5,20.4,8.1,B
657882,Troup-Heidel-Bama (s215),69.8,22.0,8.2,A
657883,Levy-Johnston-Dorovan (s216),43.3,21.9,9.9,D
657884,Saucier-Notcher-Malbis (s217),64.1,22.9,13.0,B
657885,Harleston-Escambia-Bayou (s218),53.5,17.6,8.9,D
657886,Urban land-Smithton-Johnston-Dorovan-Benndale (s219),30.7,13.9,5.5,D
657887,Pruitton-Fullerton-Decatur-Bewleyville (s22),17.8,59.0,23.2,B
657888,Troup-Esto-Benndale (s220),65.2,18.9,7.6,B
657889,Pamlico-Lafitte-Axis (s221),59.4,6.7,5.3,D
657890,Scranton-Poarch-Pactolus-Escambia-Bama (s222),64.1,16.7,12.0,B
657891,Levy-Leon-Lafitte-Fripp-Dorovan (s223),39.4,10.0,10.6,A
657892,Rock outcrop-Pikeville-Hector (s224),50.0,26.8,10.7,D
657893,Malbis-Dothan-Cowarts-Blanton (s225),72.7,14.9,12.5,A
657894,Wahee-Riverview-Chewacla (s226),60.6,27.5,11.9,B
657895,Fullerton-Dickson-Decatur-Bodine (s227),15.7,62.8,21.5,C
657896,Talbott-Rock outcrop-Bouldin (s228),37.3,38.8,17.2,C
657897,Minvale-Fullerton-Bodine (s23),27.8,46.2,26.0,B
657898,Roanoke-Ketona-Hollywood-Chewacla (s24),15.7,53.9,30.4,D
657899,Tupelo-Leadvale-Decatur-Colbert (s25),20.1,54.2,25.8,D
657900,Townley-Nella-Hartsells-Gorgas (s26),42.1,34.4,16.3,B
657901,Townley-Nauvoo-Hartsells-Gorgas (s27),52.8,25.8,13.7,B
657902,Nauvoo-Gorgas (s28),49.6,29.6,15.8,D
657903,Whitwell-Spadra (s29),48.6,34.0,17.4,C
657904,Fullerton-Dewey-Decatur (s3),22.6,54.5,22.9,B
657905,Smithdale-Savannah-Ora (s30),58.2,29.0,12.8,C
657906,Smithdale-Savannah-Ochlockonee-Nauvoo (s31),69.3,18.9,11.8,C
657907,Smithdale-Savannah-Luverne-Flomaton (s32),63.5,25.2,11.3,C
